TALLER DE LECTURA Y REDACCION I                             ,90,10-ago-13,ORD  
ETIMOLOGÍAS GRECOLATINAS                                    ,73,28-sep-13,ORD  
MATEMATICAS I (ALGEBRA)                                     ,95,29-jun-13,ORD  
QUIMICA I                                                   ,94,27-jul-13,ORD  
INGLES I                                                    ,100,24-ago-13,ORD  
TALLER DE LECTURA Y REDACCION II                            ,87,16-nov-13,ORD  
INFORMATICA I                                               ,87, 2 Nov 2013,ORD  
MATEMATICAS II (GEOMETRIA PLANA)                            ,77,30-sep-13,ORD  
QUIMICA II                                                  ,84,21-dic-13,ORD  
INGLES II                                                   ,100,30-nov-13,ORD  
BIOLOGIA I                                                  ,81,19-oct-13,ORD  
HISTORIA DE MEXICO I                                        ,82, 3 May 2014,ORD  
INFORMATICA II                                              ,97,22-mar-14,ORD  
MATEMATICAS III (GEOMETRIA ANALITICA)                       ,90, 1 Feb 2014,ORD  
FISICA I                                                    ,84,22-feb-14,ORD  
INGLES III                                                  ,90, 8 Mar 2014,ORD  
BIOLOGIA II                                                 ,74,12-abr-14,ORD  
HISTORIA DE MEXICO II                                       ,81, 8 Ago 2014,ORD  
FILOSOFIA                                                   ,68,23-ago-14,ORD  
MATEMATICAS IV (CALCULO)                                    ,81,24-may-14,ORD  
FISICA II                                                   ,92,14-jun-14,ORD  
INGLES IV                                                   ,89,26-jul-14,ORD  
CONTABILIDAD I                                              ,92,   12 Jul 2014,ORD  
LITERATURA I                                                ,88,28-jun-14,ORD  
PROBABILIDAD Y ESTADISTICA                                  ,92,20-abr-15,ORD  
ADMINISTRACION                                              ,79,13-sep-14,ORD  
HISTORIA DE NUESTRO TIEMPO                                  ,66, 6 Dic 2014,ORD  
ECONOMIA                                                    ,88,20-dic-14,ORD  
ETICA Y VALORES                                             ,82,11-oct-14,ORD  
HISTORIA DE YUCATAN                                         ,67, 8 Nov 2014,ORD  
LITERATURA II                                               ,86,27-sep-14,ORD  
CONTABILIDAD II                                             ,89,25-oct-14,ORD  
ECOLOGIA Y MEDIO AMBIENTE                                   ,71,14-mar-15,ORD  
METODOLOGIA DE LA INVESTIGACION                             ,80,14-feb-15,ORD  
DERECHO                                                     ,89,17-ene-15,ORD  
PSICOLOGIA                                                  ,79,28-feb-15,ORD  
INTRODUCCION A LAS CIENCIAS SOCIALES                        ,90,18-abr-15,ORD  
ANATOMIA Y FISIOLOGIA HUMANA                                ,78,28-mar-15,ORD  
ESTRUCTURA SOCIOECONOMICA DE MEXICO                         ,76,31-ene-15,ORD  
INFORMATICA CONTABLE                                        ,94, 2 May 2015,ORD  
